job_title,description,skills
Python Developer,Develop Python applications and backend services,Python|Flask|Django|SQL|Git|REST API
Java Developer,Develop Java applications and enterprise software,Java|Spring Boot|SQL|Git|REST API
Full Stack Developer,Develop frontend and backend web applications,HTML|CSS|JavaScript|React|Python|SQL|Git
Backend Developer,Develop backend APIs and server applications,Python|Django|Flask|Java|SQL|REST API|Git
Frontend Developer,Develop responsive web interfaces,HTML|CSS|JavaScript|React|Bootstrap|Git
Machine Learning Engineer,Build and deploy machine learning models,Python|Machine Learning|Pandas|NumPy|Scikit-learn|TensorFlow
Data Analyst,Analyze data and create business insights,Python|SQL|Pandas|Excel|Power BI|Statistics
Data Scientist,Build predictive models and analyze datasets,Python|SQL|Pandas|NumPy|Scikit-learn|Machine Learning|Statistics
DevOps Engineer,Automate deployment and manage cloud infrastructure,Linux|Docker|AWS|Git|CI/CD|Kubernetes
Software Engineer,Develop and maintain software applications,Python|Java|C|SQL|Git|REST API
